p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
c1,NA,1012,NA,NA,781,NA,NA,855,NA,1155,NA
c2,2768,3264,5873,3867,2123,2516,2945,2535,3896,3180,4817
c3,NA,24651,NA,NA,8732,NA,NA,18791,NA,20883,NA
c4,NA,1290,NA,NA,975,NA,NA,991,NA,1313,NA
c5,2887,4206,6641,4819,2613,2994,3933,2826,3935,3353,5510
c6,NA,32797,NA,NA,10576,NA,NA,20376,NA,17666,NA
c7,NA,1337,NA,NA,1007,NA,NA,931,NA,1168,NA
c8,3567,4393,6336,5174,2715,3123,4339,2525,3235,2812,4608
c9,NA,37051,NA,NA,11780,NA,NA,16990,NA,12997,NA
c10,NA,5408,NA,NA,3024,NA,NA,3245,NA,4761,NA
c11,3181,3867,6535,4839,2528,2971,3835,2895,4098,3435,5306
